wavelength,spectrum
563,4.33012E+14
564,4.29879E+14
565,4.2851E+14
566,4.13963E+14
567,4.32166E+14
568,4.31142E+14
569,4.24745E+14
570,4.22623E+14
571,4.15465E+14
572,4.3202E+14
573,4.3746E+14
574,4.34974E+14
575,4.26331E+14
576,4.24899E+14
577,4.32168E+14
578,4.24193E+14
579,4.28568E+14
580,4.36603E+14
581,4.39548E+14
582,4.47259E+14
583,4.51327E+14
584,4.52101E+14
585,4.49197E+14
586,4.41857E+14
587,4.46672E+14
588,4.3449E+14
589,3.92632E+14
590,4.07027E+14
591,4.29645E+14
592,4.27766E+14
593,4.31472E+14
594,4.30332E+14
595,4.29934E+14
596,4.39277E+14
597,4.41141E+14
598,4.39623E+14
599,4.40358E+14
600,4.42603E+14
601,4.38427E+14
602,4.34992E+14
603,4.4292E+14
604,4.51631E+14
605,4.5314E+14
606,4.51983E+14
607,4.54256E+14
608,4.5271E+14
609,4.50391E+14
610,4.48445E+14
611,4.49564E+14
612,4.54149E+14
613,4.49108E+14
614,4.39802E+14
615,4.50961E+14
616,4.43946E+14
617,4.40399E+14
618,4.52383E+14
619,4.57397E+14
620,4.58916E+14
621,4.59656E+14
622,4.46314E+14
623,4.4233E+14
624,4.42256E+14
625,4.40606E+14
626,4.42492E+14
627,4.49508E+14
628,4.34822E+14
629,4.43426E+14
630,4.4215E+14
631,4.44836E+14
632,4.37989E+14
633,4.56994E+14
634,4.54925E+14
635,4.58039E+14
636,4.5436E+14
637,4.66291E+14
638,4.71035E+14
639,4.68559E+14
640,4.61645E+14
641,4.61157E+14
642,4.62684E+14
643,4.67853E+14
644,4.67365E+14
645,4.68497E+14
646,4.59473E+14
647,4.55709E+14
648,4.5193E+14
649,4.42832E+14
650,4.47602E+14
651,4.65895E+14
652,4.5718E+14
653,4.66916E+14
654,4.62284E+14
655,4.40336E+14
656,3.98929E+14
657,4.13171E+14
658,4.51456E+14
659,4.60845E+14
660,4.64035E+14
661,4.62244E+14
662,4.60029E+14
663,4.60724E+14
664,4.65177E+14
665,4.73823E+14
666,4.75373E+14
667,4.7357E+14
668,4.75121E+14
669,4.82563E+14
670,4.79071E+14
671,4.75567E+14
672,4.71627E+14
673,4.76138E+14
674,4.74726E+14
675,4.73308E+14
676,4.7826E+14
677,4.77265E+14
678,4.77117E+14
679,4.75258E+14
680,4.75531E+14
681,4.7623E+14
682,4.765E+14
683,4.74192E+14
684,4.71876E+14
685,4.70842E+14
686,4.47587E+14
687,3.56431E+14
688,3.80963E+14
689,3.90832E+14
690,4.09191E+14
691,4.27166E+14
692,4.39969E+14
693,4.38862E+14
694,4.3513E+14
695,4.42313E+14
696,4.45138E+14
697,4.65503E+14
698,4.63098E+14
699,4.5453E+14
700,4.50338E+14
701,4.4525E+14
702,4.45444E+14
703,4.50057E+14
704,4.59995E+14
705,4.66855E+14
706,4.65742E+14
707,4.65512E+14
708,4.63944E+14
709,4.66829E+14
710,4.67934E+14
711,4.68146E+14
712,4.6567E+14
713,4.63634E+14
714,4.64733E+14
715,4.55492E+14
716,4.49374E+14
717,4.01304E+14
718,3.70302E+14
719,3.40885E+14
720,3.57659E+14
721,3.94611E+14
722,4.38611E+14
723,4.1512E+14
724,3.861E+14
725,3.81618E+14
726,3.92645E+14
727,3.93186E+14
728,3.82739E+14
729,3.85557E+14
730,4.08122E+14
731,3.99946E+14
732,4.21669E+14
733,4.3884E+14
734,4.5144E+14
735,4.47895E+14
736,4.44801E+14
737,4.45869E+14
738,4.50651E+14
739,4.4522E+14
740,4.52338E+14
741,4.51551E+14
742,4.53094E+14
743,4.62582E+14
744,4.67416E+14
745,4.68044E+14
746,4.65857E+14
747,4.66012E+14
748,4.66165E+14
749,4.63963E+14
750,4.6411E+14
751,4.64729E+14
752,4.64875E+14
753,4.63599E+14
754,4.68956E+14
755,4.67204E+14
756,4.64495E+14
757,4.6511E+14
758,4.66677E+14
759,4.12163E+14
760,1.40229E+14
761,8.97327E+13
762,2.22734E+14
763,1.67509E+14
764,2.0583E+14
765,2.62338E+14
766,3.14418E+14
767,3.73723E+14
768,4.22653E+14
769,4.34761E+14
770,4.47917E+14
771,4.53347E+14
772,4.54421E+14
773,4.55009E+14
774,4.55598E+14
775,4.56674E+14
776,4.59703E+14
777,4.57852E+14
778,4.57952E+14
779,4.58051E+14
780,4.55696E+14
781,4.55789E+14
782,4.56373E+14
783,4.56464E+14
784,4.54582E+14
785,4.5763E+14
786,4.57718E+14
787,4.51867E+14
788,4.47981E+14
789,4.43588E+14
790,4.35207E+14
791,4.36753E+14
792,4.34317E+14
793,4.31873E+14
794,4.34914E+14
795,4.34962E+14
796,4.30503E+14
797,4.37059E+14
798,4.43629E+14
799,4.38155E+14
800,4.32163E+14
801,4.34719E+14
802,4.34757E+14
803,4.30249E+14
804,4.34324E+14
805,4.2879E+14
806,4.3946E+14
807,4.3899E+14
808,4.37501E+14
809,4.28885E+14
810,4.27887E+14
811,4.26885E+14
812,4.17709E+14
813,4.08049E+14
814,3.74151E+14
815,3.63335E+14
816,3.44948E+14
817,3.46501E+14
818,3.43221E+14
819,3.6553E+14
820,3.63656E+14
821,4.01584E+14
822,3.80465E+14
823,3.05725E+14
824,3.74654E+14
825,3.97677E+14
826,3.91407E+14
827,3.98902E+14
828,3.64028E+14
829,3.81724E+14
830,3.82393E+14
831,3.83115E+14
832,3.78134E+14
833,3.95352E+14
834,3.9546E+14
835,4.1489E+14
836,4.11655E+14
837,4.22464E+14
838,4.20755E+14
839,4.21785E+14
840,4.26197E+14
841,4.26492E+14
842,4.22234E+14
843,4.22894E+14
844,4.19734E+14
845,4.28468E+14
846,4.31954E+14
847,4.2309E+14
848,4.21616E+14
849,4.15279E+14
850,3.90271E+14
851,4.11548E+14
852,4.14497E+14
853,4.07044E+14
854,3.74116E+14
855,3.91384E+14
856,4.15527E+14
857,4.2539E+14
858,4.26912E+14
859,4.27194E+14
860,4.26339E+14
861,4.26726E+14
862,4.30095E+14
863,4.31788E+14
864,4.24573E+14
865,4.12498E+14
866,3.78774E+14
867,3.96986E+14
868,4.14638E+14
869,4.15499E+14
870,4.20627E+14
871,4.18208E+14
872,4.21649E+14
873,4.18674E+14
874,4.12558E+14
875,4.08958E+14
876,4.17413E+14
877,4.20151E+14
878,4.18918E+14
879,4.14089E+14
880,4.12955E+14
881,4.04615E+14
882,4.11176E+14
883,4.12142E+14
884,4.14109E+14
885,4.16693E+14
886,4.0563E+14
887,4.05697E+14
888,4.11013E+14
889,4.15557E+14
890,4.13114E+14
891,4.12682E+14
892,4.05572E+14
893,3.92043E+14
894,3.80957E+14
895,3.64441E+14
896,3.40056E+14
897,3.07999E+14
898,3.10997E+14
899,2.67867E+14
900,3.16104E+14
901,2.82969E+14
902,2.99563E+14
903,3.19714E+14
904,3.72597E+14
905,3.70221E+14
906,3.46985E+14
907,2.9917E+14
908,2.99157E+14
909,3.13549E+14
910,2.92205E+14
911,3.03984E+14
912,3.10569E+14
913,2.91331E+14
914,2.90443E+14
915,3.02441E+14
916,2.79615E+14
917,3.19134E+14
918,2.89289E+14
919,3.32603E+14
920,3.4523E+14
921,3.53772E+14
922,3.31021E+14
923,3.41016E+14
924,3.35051E+14
925,3.30062E+14
926,3.31933E+14
927,3.49722E+14
928,2.83803E+14
929,2.52327E+14
930,2.07272E+14
931,1.86125E+14
932,1.43949E+14
933,1.133E+14
934,7.96474E+13
935,1.06075E+14
936,8.11718E+13
937,7.89015E+13
938,1.03879E+14
939,1.80579E+14
940,2.12161E+14
941,1.83449E+14
942,1.82045E+14
943,1.39777E+14
944,1.39807E+14
945,1.59329E+14
946,1.13094E+14
947,1.60023E+14
948,1.49103E+14
949,2.016E+14
950,1.10943E+14
951,1.97779E+14
952,1.45661E+14
953,1.64753E+14
954,1.93243E+14
955,1.67561E+14
956,1.5463E+14
957,1.44861E+14
958,2.05018E+14
959,1.87984E+14
