wavelength_nm;White;TCS01;TCS02;TCS03;TCS04;TCS05;TCS06;TCS07;TCS08
785;1;0.46700;0.313;0.52;0.2;0.222;0.493;0.583;0.73
790;1;0.46700;0.313;0.524;0.204;0.226;0.5;0.585;0.731
795;1;0.46600;0.312;0.527;0.21;0.231;0.506;0.587;0.731
800;1;0.46600;0.312;0.531;0.218;0.237;0.512;0.588;0.731
805;1;0.46600;0.311;0.535;0.225;0.243;0.517;0.589;0.731
810;1;0.46600;0.311;0.539;0.233;0.249;0.521;0.59;0.731
815;1;0.46600;0.311;0.544;0.243;0.257;0.525;0.59;0.731
820;1;0.46500;0.311;0.548;0.254;0.265;0.529;0.59;0.731
825;1;0.46400;0.311;0.552;0.264;0.273;0.532;0.591;0.731
830;1;0.46400;0.31;0.555;0.274;0.28;0.535;0.592;0.731
