wavelength,emission
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,0.0
460,0.0
465,0.0
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
500,0.0
505,0.0
510,0.0
515,0.0
520,0.0
525,0.0
530,0.0
535,0.0
540,0.0
545,0.0
550,0.0
555,0.0
560,0.0
565,0.0
570,0.0
575,0.0
580,0.0
585,0.0
590,0.0
595,0.0025536274069031
600,0.0154589685656296
605,0.0283643097243561
610,0.0412696508830826
615,0.0541749920418091
620,0.0670803332005356
625,0.0799856743592621
630,0.0928910155179885
635,0.105796356676715
640,0.1187016978354415
645,0.131607038994168
650,0.1592957951260571
655,0.2132201783677489
660,0.2671445616094406
665,0.3210689448511324
670,0.3749933280928242
675,0.4380830082798968
680,0.5179443208778194
685,0.597805633475742
690,0.6776669460736646
695,0.7807281738611398
700,1.010528173861137
705,1.2042633695393403
710,1.3709106302330545
715,1.554040010451257
720,1.7489479152862537
725,1.9099235532258017
730,2.070759730700204
735,2.2271021324350966
740,2.366725088724718
745,2.507672475505435
750,2.709545939878904
755,2.823035379304037
760,2.8852856075219084
765,2.9385005634818766
770,2.9616330497233787
775,2.9847655359648813
780,2.9939404668941383
785,2.953792561041902
790,2.9136446551896653
795,2.873496749337429
800,2.801070947543152
805,2.720284329098306
810,2.63949771065346
815,2.570265756915496
820,2.510087390283034
825,2.449909023650572
830,2.38973065701811
835,2.2848831279842865
840,2.139508034210843
845,1.9941329404373973
850,1.8508442725576848
855,1.7130125204260664
860,1.58873347449212
865,1.5055925749171666
870,1.4224516753422132
875,1.3393107757672595
880,1.25628788285868
885,1.1734367006611826
890,1.090585518463685
895,0.9488691024203304
900,0.8313990421915508
905,0.7873888300941433
910,0.7433786179967359
915,0.6993684058993284
920,0.6394166808863092
925,0.5464386913987912
930,0.4603860082292317
935,0.4362239015260852
940,0.4120617948229387
945,0.3878996881197922
950,0.3637375814166457
955,0.3465987792418018
960,0.3373791358655058
965,0.3281594924892098
970,0.3189398491129137
975,0.3097202057366177
980,0.3005005623603217
985,0.2912809189840257
990,0.2820612756077296
995,0.2728416322314336
1000,0.2636219888551376
1005,0.2544023454788416
1010,0.2451827021025455
1015,0.2359630587262495
1020,0.2267434153499535
1025,0.2175237719736575
1030,0.2083041285973615
1035,0.1990844852210654
1040,0.1898648418447694
1045,0.1806451984684734
1050,0.1714255550921774
1055,0.1622059117158814
1060,0.1529862683395853
1065,0.1437666249632893
1070,0.1345469815869933
1075,0.1253273382106973
1080,0.1161076948344012
1085,0.1068880514581052
1090,0.0976684080818092
1095,0.0884487647055132
1100,0.0792291213292172
1105,0.0700094779529211
1110,0.0607898345766251
1115,0.0515701912003291
1120,0.0423505478240331
1125,0.033130904447737
1130,0.023911261071441
1135,0.014691617695145
1140,0.005471974318849
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
