wavelength,emission
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,2.2841865928319804
410,5.083712812707873
415,7.756251672811475
420,10.428790532915077
425,11.896246071355078
430,13.017867692976704
435,14.13948931459833
440,14.469178085024476
445,13.446784961296814
450,12.42439183756915
455,11.401998713841488
460,10.379605590113826
465,9.357212466386162
470,8.363646566460059
475,7.41679394678422
480,6.469941327108383
485,5.523088707432544
490,4.5762360877567065
495,3.629383468080869
500,2.897471797250408
505,2.497607344522522
510,2.097742891794637
515,1.6978784390667512
520,1.2980139863388656
525,0.8981495336109799
530,0.4982850808830945
535,0.0984206281552091
540,0.0
545,0.0
550,0.0
555,0.0
560,0.0
565,0.0
570,0.0
575,0.0
580,0.0
585,0.0
590,0.0
595,0.0
600,0.0021818901186288
605,0.0137906740985073
610,0.4792526703738039
615,1.6282776635075562
620,2.7773026566413086
625,3.926327649775061
630,5.075352642908813
635,6.224377636042565
640,7.373402629176317
645,8.522427622310069
650,10.029362363959994
655,13.16529776099901
660,16.301233158038027
665,19.437168555077044
670,23.339756841007976
675,31.42541673948506
680,36.00627842836633
685,39.30315148181094
690,42.60002453525556
695,46.05617795445757
700,50.828129173969856
705,55.60008039348213
710,58.261349755239664
715,60.65314247652166
720,63.04493519780365
725,63.97833016801009
730,64.69834304838362
735,65.41835592875715
740,66.13836880913068
745,66.85838168950421
750,66.85924652054162
755,64.85816730620964
760,62.85708809187766
765,60.85600887754568
770,58.746265455886565
775,55.40412655516225
780,52.06198765443793
785,48.71984875371361
790,43.93259701196135
795,38.98882801500088
800,35.09542290325977
805,32.1494016420357
810,29.20338038081164
815,26.25735911958757
820,23.51355667584519
825,21.901897679570794
830,20.2902386832964
835,18.678579687022008
840,17.066920690747615
845,15.45526169447322
850,13.843602698198826
855,12.559917939944947
860,11.285865944581497
865,10.01181394921804
870,8.737761953854584
875,7.463709958491129
880,6.189657963127673
885,4.915605967764218
890,3.6415539724007626
895,2.82228713589385
900,2.122234971052955
905,1.42218280621206
910,0.722130641371165
915,0.0220784765302699
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
