wavelength,emission
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0099161621380723
430,0.0234438489181632
435,0.0372106406676289
440,0.0509904500511933
445,0.0778193205968672
450,0.1118901170570439
455,0.1658050864571046
460,0.2314145289867836
465,0.3026220398293574
470,0.3900176475504176
475,0.4924160072016055
480,0.5636844859808142
485,0.638404014789082
490,0.7296110842300444
495,0.8107712761711987
500,0.8869490399902937
505,0.9537827817712826
510,0.9967077029351588
515,1.0232596068128823
520,0.9965858286049906
525,0.9699120503970988
530,0.9432382721892072
535,0.9165644939813156
540,0.8480944991886604
545,0.774390442502795
550,0.7094704557536173
555,0.6500949550325795
560,0.5847754711816223
565,0.5024523200562186
570,0.4434374712184062
575,0.3905176385538459
580,0.3403551435186009
585,0.2921590811724155
590,0.2439630188262301
595,0.2107744044092521
600,0.1837148929747406
605,0.1566553815402291
610,0.1295958701057176
615,0.1131510272602563
620,0.1008621590596978
625,0.0885732908591392
630,0.0762844226585807
635,0.0639955544580221
640,0.0533056759622515
645,0.0431332324189088
650,0.032960788875566
655,0.0227883453322232
660,0.0154528035257372
665,0.012675121181284
670,0.0098974388368307
675,0.0071197564923775
680,0.0043420741479243
685,0.001564391803471
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
